,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price
353,Vendange Chardonnay,United States,Vendange,"Chardonnay, White Wine","Green Apple, Pear, Oak",14%,"Chicken, Fish - Meaty  Oily",Chardonnay Glass,4,Dry Wine,Full,5.0,18,399.0
354,Vendange Cabernet Sauvignon,United States,Vendange,"Cabernet Sauvignon, Red Wine",,14%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,3,899.0
355,Vendange Pinot Grigio,United States,Vendange,"Pinot Grigio, White Wine",,12.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,2,899.0
356,Vendange Sauvignon Blanc,United States,Vendange,"Sauvignon Blanc, White Wine",,14%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,899.0
357,Duckhorn Vineyards Napa Valley Sauvignon Blanc,United States,Duckhorn,"Sauvignon Blanc, White Wine","Citrus, Tropical, Oak, Acidic",13.5%,"Shellfish, Cheese - Creamy  Bloomy",Standard White Glass,3,Dry Wine,Light,5.0,22,2799.0
358,Duckhorn Vineyards Napa Valley Cabernet Sauvignon,United States,Duckhorn,"Cabernet Sauvignon, Red Wine","Earthy, Dark Fruit, Bold, Herbal",14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,16,1349.0
359,Duckhorn Vineyards Napa Valley Chardonnay,United States,Duckhorn,"Chardonnay, White Wine",,14.1%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,5,3299.0
360,Duckhorn Vineyards Napa Valley Merlot,United States,Duckhorn,"Merlot, Red Wine","Balanced, Cherry, Red Fruit",14.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,4,5052.0
361,William Hill North Coast Chardonnay,United States,William Hill,"Chardonnay, White Wine","Spicy, Apple, Tropical, Smooth",13.5%,"Fish - Meaty  Oily, Turkey",Chardonnay Glass,4,Dry Wine,Full,5.0,12,1494.0
362,William Hill North Coast Cabernet Sauvignon,United States,William Hill,"Cabernet Sauvignon, Red Wine","Rich, Caramel, Dark Fruit, Round",13.9%,"Beef, Pork",Bordeaux Glass,6,Dry Wine,Full,5.0,4,1599.0
363,Ste Genevieve Chardonnay,United States,Ste Genevieve,"Chardonnay, White Wine","Apple, Honey, Pear, Tropical Fruit",12.5%,"Cheese - Fresh  Soft, Chicken, Fish - Meaty  Oily, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,2,327.0
364,Turning Leaf Cabernet Sauvignon,United States,Turning Leaf,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,4,780.0
365,Mezzacorona Pinot Grigio,Italy,Mezzacorona,"Pinot Grigio, White Wine","Balanced, Citrus, Floral, Fresh, Green Apple, Light, Minerality",12.5%,"Fish - White, Pasta, Salads  Greens, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,61,999.0
366,Little Black Dress Cabernet Sauvignon,United States,Little Black Dress Wines,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,1078.0
367,Kim Crawford Sauvignon Blanc,New Zealand,Kim Crawford Wines,"Sauvignon Blanc, White Wine","Fresh, Fruity, Crisp",13%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.9,721,1949.0
368,Kim Crawford Chardonnay,New Zealand,Kim Crawford Wines,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,6,1699.0
369,Kim Crawford Pinot Grigio,New Zealand,Kim Crawford Wines,"Pinot Grigio, White Wine",,14%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,3,1699.0
370,Kim Crawford Signature Reserve Sauvignon Blanc,New Zealand,Kim Crawford Wines,"Sauvignon Blanc, White Wine",,12%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,2499.0
371,Sokol Blosser Evolution Pinot Noir,United States,Sokol Blosser,"Pinot Noir, Red Wine","Dry, Earthy, Fruity, Red Fruit, Toasty",13.5%,"Beef, Chicken, Duck  Game Bird, Fish - Meaty  Oily, Lamb, Mushrooms, Nuts, Pasta, Pork, Root Vegetables, Turkey",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,3,1800.0
372,Matchbook Chardonnay,United States,Matchbook,"Chardonnay, White Wine","Apricot, Balanced, Butter, Honey, Toasty, Tropical Fruit, Vanilla",13.9%,"Cheese - Fresh  Soft, Fish - Meaty  Oily, Salads  Greens, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1539.0
373,Biagio Pinot Grigio,Italy,Biagio Cru,"Pinot Grigio, White Wine",,14%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,2.5,2,999.0
374,Stags’ Leap Napa Valley Cabernet Sauvignon,United States,Stags Leap Winery,"Cabernet Sauvignon, Red Wine",,14.1%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,17,5116.0
375,Stags’ Leap Napa Valley Chardonnay,United States,Stags Leap Winery,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,10,2749.0
376,Stags’ Leap Napa Valley Merlot,United States,Stags Leap Winery,"Merlot, Red Wine",,14.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,6,3367.0
377,Wente Vineyards Riva Ranch Chardonnay,United States,Wente Vineyards,"Chardonnay, White Wine","Oak, Stone Fruit, Tropical Fruit, Vanilla",13.5%,"Pasta, Salads  Greens, Cheese - Nutty  Semi-Firm, Chicken, Cured Meats",Chardonnay Glass,4,Dry Wine,Full,5.0,11,1799.0
378,Wente Vineyards Southern Hills Cabernet Sauvignon,United States,Wente Vineyards,"Cabernet Sauvignon, Red Wine","Balanced, Berry, Blueberry, Dark Fruit, Floral, Smooth",13.5%,"Beef, Cheese - Creamy  Bloomy, Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Duck  Game Bird, Lamb, Pasta",Bordeaux Glass,6,Dry Wine,Full,5.0,4,1599.0
379,Wente Vineyards Charles Wetmore Cabernet Sauvignon,United States,Wente Vineyards,"Cabernet Sauvignon, Red Wine","Berry, Dark Fruit, Earthy",13.5%,"Duck  Game Bird, Pasta, Beef, Cheese - Hard Aged",Bordeaux Glass,6,Dry Wine,Full,5.0,3,2499.0
380,Wente Vineyards Morning Fog Chardonnay,United States,Wente Vineyards,"Chardonnay, White Wine","Citrus, Oak, Pear, Toasty, Vanilla",13.5%,"Cheese - Fresh  Soft, Cheese - Nutty  Semi-Firm, Chicken, Fish - White, Nuts, Pork, Salads  Greens",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1399.0
381,Robert Hall Cabernet Sauvignon,United States,Robert Hall,"Cabernet Sauvignon, Red Wine",,14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,3.7,4,1546.0
382,Heitz Cellar Napa Valley Cabernet Sauvignon,United States,Heitz Cellars,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,5999.0
383,Bodega Norton 1895 Malbec,Argentina,Bodega Norton,"Malbec, Red Wine",,13.4%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,3.7,4,999.0
384,Charles Smith Kung Fu Girl Riesling,United States,Charles Smith Wines,"Riesling, White Wine","Citrus, Grassy, Peach, Floral",12%,"Duck  Game Bird, Pork",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,4.8,54,1299.0
385,Charles Smith The Velvet Devil Merlot,United States,Charles Smith Wines,"Merlot, Red Wine",,13.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,4.5,37,1298.0
386,Charles Smith Eve Chardonnay,United States,Charles Smith Wines,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,1299.0
387,"Benziger Cabernet Sauvignon Red Wine – 750ml, Sonoma County",United States,Benziger,"Cabernet Sauvignon, Red Wine","Berry, Mocha, Rich, Spicy",14.3%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,4,1799.0
388,"Benziger Chardonnay White Wine – 750ml, Sonoma County",United States,Benziger,"Chardonnay, White Wine","Apple, Apricot, Butter, Citrus, Creamy, Pear",14%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,2.5,2,1319.0
389,JUSTIN Cabernet Sauvignon,United States,Justin Winery,"Cabernet Sauvignon, Red Wine","Cherry, Cinnamon, Currant, Dark Fruit, Oak, Red Fruit, Vanilla",14.5%,"Cured Meats, Beef",Bordeaux Glass,6,Dry Wine,Full,4.8,87,2749.0
390,JUSTIN Sauvignon Blanc,United States,Justin Winery,"Sauvignon Blanc, White Wine","Citrus, Green Apple, Herbal, Minerality, Peach, Tropical Fruit",13.5%,"Fish - Meaty  Oily, Pork, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,5,1699.0
391,JUSTIN ISOSCELES,United States,Justin Winery,"Bordeaux Blend, Red Wine","Cherry, Currant",15%,"Beef, Dessert - Chocolate  Coffee, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,4,7999.0
392,Cavit Pinot Grigio,Italy,Cavit,"Pinot Grigio, White Wine","Bright, Citrus, Green Apple",12%,"Chicken, Dessert - Fruit",Standard White Glass,3,Dry Wine,Light,4.9,449,989.0
393,Cavit Pinot Noir,Italy,Cavit,"Pinot Noir, Red Wine",,12%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,14,946.0
394,Cavit Riesling,Italy,Cavit,"Riesling, White Wine",,11.5%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,7,989.0
395,Cavit Chardonnay (Oak Zero),Italy,Cavit,"Chardonnay, White Wine",,12%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,5,912.0
396,Cavit Cabernet Sauvignon,Italy,Cavit,"Cabernet Sauvignon, Red Wine",,12.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,4,999.0
397,Cavit Merlot,Italy,Cavit,"Merlot, Red Wine",,12.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,2,989.0
398,Charles Krug Cabernet Sauvignon,United States,Charles Krug,"Cabernet Sauvignon, Red Wine","Bold, Cassis, Cherry, Chocolate, Cinnamon, Coffee, Currant, Dark Fruit, Dry, Leather, Oak, Red Fruit, Rich, Smooth, Tobacco",14.1%,"Beef, Duck  Game Bird, Lamb, Mushrooms, Root Vegetables",Bordeaux Glass,6,Dry Wine,Full,5.0,6,3070.0
399,Charles Krug Merlot,United States,Charles Krug,"Merlot, Red Wine","Balanced, Berry, Blueberry, Bold, Cassis, Cherry, Chocolate, Cinnamon, Coffee, Currant, Dark Fruit, Dry, Intense, Jammy, Leather, Oak, Red Fruit, Smooth, Strong, Toasty, Tobacco, Vanilla",14.9%,"Beef, Cheese - Nutty  Semi-Firm, Duck  Game Bird, Lamb, Mushrooms, Pasta, Pork, Root Vegetables, Tomatoes, Turkey",Bordeaux Glass,6,Dry Wine,Medium,5.0,3,2199.0
400,Charles Krug Sauvignon Blanc,United States,Charles Krug,"Sauvignon Blanc, White Wine","Balanced, Bright, Crisp, Fresh, Fruity, Grapefruit, Grassy, Green Apple, Guava, Herbal, Intense, Light, Melon, Melon - Honeydew, Nectarine, Pear, Smooth, Stone Fruit, Tropical, Tropical Fruit",13.4%,"Cheese - Blue, Cheese - Fresh  Soft, Cheese - Hard Aged, Cheese - Nutty  Semi-Firm, Chicken, Fruit - Citrus, Salads  Greens, Shellfish, Tomatoes",Standard White Glass,3,Dry Wine,Light,5.0,3,1599.0
401,Chalk Hill Chardonnay Sonoma Coast,United States,Chalk Hill,"Chardonnay, White Wine",,14.9%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,5,1999.0
402,King Estate Willamette Valley Pinot Noir,United States,King Estate,"Pinot Noir, Red Wine","Anise, Berry, Blueberry, Bright, Cassis, Chocolate, Cinnamon, Crushed Rock, Currant, Jammy, Minerality, Oak, Red Fruit, Rose Petal, Smooth, Supple",13.5%,"Beef, Cheese - Blue, Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Cheese - Hard Aged, Chicken, Cured Meats, Duck  Game Bird, Fish - Meaty  Oily, Mushrooms, Nuts, Pasta, Pork, Turkey",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,5,2729.0
403,King Estate Willamette Valley Pinot Gris,United States,King Estate,"Pinot Grigio, White Wine","Apple, Bright, Citrus, Crisp, Fruity, Grapefruit, Green Apple, Minerality, Nectarine, Peach, Pear, Stone Fruit, Tropical Fruit",13.5%,"Cheese - Blue, Cheese - Creamy  Bloomy, Cheese - Fresh  Soft, Chicken, Cured Meats, Fish - White, Fruit - Dried, Nuts, Root Vegetables, Salads  Greens, Shellfish, Turkey",Standard White Glass,3,Dry Wine,Light,5.0,4,1799.0
404,King Estate “Inscription” Willamette Valley Pinot Noir,United States,King Estate,"Pinot Noir, Red Wine","Balanced, Berry, Blueberry, Bright, Cherry, Crushed Rock, Dark Fruit, Earthy, Fresh, Neutral, Supple, Velvety",13.5%,"Beef, Cheese - Creamy  Bloomy, Cheese - Nutty  Semi-Firm, Chicken, Cured Meats, Lamb, Mushrooms, Nuts, Pasta, Pork",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,2,2099.0
405,Stag’s Leap Artemis Cabernet Sauvignon,United States,Stags Leap Wine Cellars,"Cabernet Sauvignon, Red Wine",,14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,34,5699.0
406,Stag’s Leap Sauvignon Blanc,United States,Stags Leap Wine Cellars,"Sauvignon Blanc, White Wine",,14.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,8,2999.0
407,Pacific Rim Sweet Riesling,United States,Pacific Rim,"Riesling, White Wine",,8.5%,"Duck  Game Bird, Cheese - Fresh  Soft",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,4.8,25,1099.0
408,19 Crimes Cabernet Sauvignon,Australia,19 Crimes,"Cabernet Sauvignon, Red Wine","Currant, Berry, Vanilla",13.5%,"Beef, Lamb",Bordeaux Glass,6,Dry Wine,Full,4.9,362,1099.0
409,19 Crimes Hard Chard,Australia,19 Crimes,"Chardonnay, White Wine",,16%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,57,1099.0
410,Archer Roose Sauvignon Blanc,United States,Archer Roose,"Sauvignon Blanc, White Wine","Citrus, Pineapple",12.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,15,499.0
411,Archer Roose Cabernet Sauvignon,Chile,Archer Roose,"Cabernet Sauvignon, Red Wine",,14.1%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,10,3299.0
412,Folonari Pinot Grigio,Italy,Folonari,"Pinot Grigio, White Wine","Pear, Bright, Citrus, Green Apple",12%,"Root Vegetables, Fish - White",Standard White Glass,3,Dry Wine,Light,4.5,21,998.0
413,Campo Viejo Tempranillo Rioja,Spain,Campo Viejo,"Red Wine, Tempranillo","Fresh, Red Fruit, Spicy, Vanilla",13.5%,"Tomatoes, Cured Meats",Standard Red Glass,5,Dry Wine,Medium,5.0,3,1299.0
414,Napa Cellars Pinot Noir,United States,Napa Cellars,"Pinot Noir, Red Wine","Berry, Cherry, Chocolate, Cinnamon, Earthy, Vanilla",14.2%,"Duck  Game Bird, Fish - Meaty  Oily, Mushrooms",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,2,2299.0
415,Napa Cellars Sauvignon Blanc,United States,Napa Cellars,"Sauvignon Blanc, White Wine","Acidic, Citrus, Grapefruit, Melon, Peach, Tropical Fruit",13.9%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,2,1554.0
416,Napa Cellars Merlot,United States,Napa Cellars,"Merlot, Red Wine","Berry, Caramel, Cherry, Coffee, Herbal, Rose Petal, Toasty, Tobacco, Vanilla, Woody",14.7%,"Chicken, Duck  Game Bird, Lamb, Mushrooms, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,2.5,2,2199.0
417,Pepperwood Grove Pinot Noir,United States,Pepperwood Grove,"Pinot Noir, Red Wine","Dark Fruit, Berry, Rose Petal, Nutty",13.5%,"Turkey, Pasta",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,4,799.0
418,Frescobaldi Castiglioni Chianti Chianti DOCG,Italy,Frescobaldi,"Chianti Blend, Red Wine","Berry, Cherry, Floral, Fruity",13%,"Cheese - Hard Aged, Chicken, Cured Meats, Pasta, Root Vegetables",Standard Red Glass,6,Dry Wine,Medium,5.0,4,1679.0
419,Ferrari Carano Fume Blanc,Italy,Ferrari,"Sauvignon Blanc, White Wine","Citrus, Peach, Pear, Tropical Fruit",13.8%,"Cheese - Fresh  Soft, Shellfish",Standard White Glass,3,Dry Wine,Light,4.7,24,1399.0
420,Portillo Malbec,Argentina,Portillo,"Malbec, Red Wine",,13%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,2.5,2,1064.0
421,Line 39 Pinot Noir,United States,Line 39,"Pinot Noir, Red Wine","Berry, Cherry, Rich",13.9%,"Lamb, Pasta",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.7,67,999.0
422,Line 39 Cabernet Sauvignon,United States,Line 39,"Cabernet Sauvignon, Red Wine","Fruity, Currant, Pepper, Herbal",13.5%,"Pork, Beef",Bordeaux Glass,6,Dry Wine,Full,4.7,48,999.0
423,Line 39 Sauvignon Blanc,United States,Line 39,"Sauvignon Blanc, White Wine","Grapefruit, Citrus, Grassy, Crisp",13.1%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,25,999.0
424,Line 39 Merlot,United States,Line 39,"Merlot, Red Wine",,12%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,9,1000.0
425,Line 39 California Pinot Grigio,United States,Line 39,"Pinot Grigio, White Wine",,12.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,8,1079.0
426,Line 39 Chardonnay,United States,Line 39,"Chardonnay, White Wine",,13.3%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,999.0
427,Little Penguin Merlot,Australia,Little Penguin,"Merlot, Red Wine",,13%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,3,749.0
428,Sweet Bitch Cabernet Sauvignon,Chile,Sweet Bitch,"Cabernet Sauvignon, Red Wine",,12.5%,"Duck  Game Bird, Beef",Bordeaux Glass,6,Sweet,Full,5.0,4,999.0
429,Sweet Bitch Chardonnay,United States,Sweet Bitch,"Chardonnay, White Wine",,12.5%,"Cheese - Fresh  Soft, Fish - Meaty  Oily, Shellfish",Chardonnay Glass,4,Sweet,Full,2.5,2,915.0
430,Cambria Katherine’s Vineyard Chardonnay,United States,Cambria,"Chardonnay, White Wine","Apple, Floral, Fruity, Spicy, Tropical",13.2%,"Cheese - Fresh  Soft, Fish - Meaty  Oily, Salads  Greens, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,4,1989.0
431,Craggy Range Te Muna Road Vineyard Sauvignon Blanc,New Zealand,Craggy Range,"Sauvignon Blanc, White Wine",,12.6%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,4,2099.0
432,SIMI Sonoma County Cabernet Sauvignon,United States,SIMI,"Cabernet Sauvignon, Red Wine","Cassis, Chocolate, Dark Fruit, Oak",13.5%,"Beef, Lamb",Bordeaux Glass,6,Dry Wine,Full,4.8,60,2199.0
433,SIMI Sonoma County Chardonnay,United States,SIMI,"Chardonnay, White Wine","Citrus, Stone Fruit, Toasty, Vanilla",13.5%,"Shellfish, Salads  Greens",Chardonnay Glass,4,Dry Wine,Full,5.0,52,1673.0
434,SIMI Sonoma County Sauvignon Blanc,United States,SIMI,"Sauvignon Blanc, White Wine","Bright, Citrus, Grassy, Minerality",13.5%,"Salads  Greens, Chicken",Standard White Glass,3,Dry Wine,Light,5.0,13,1399.0
435,Peter Vella Chardonnay,United States,Peter Vella,"Chardonnay, White Wine",,11%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,18,1799.0
436,Peter Vella Cabernet Sauvignon,United States,Peter Vella,"Cabernet Sauvignon, Red Wine",,11%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,9,1850.0
437,Peter Vella Chablis,United States,Peter Vella,"Chardonnay, White Wine",,9.1%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,5,1799.0
438,Peter Vella Merlot,United States,Peter Vella,"Merlot, Red Wine",,12%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,4,1899.0
439,Matanzas Creek Alexander Valley Chardonnay,United States,Matanzas Creek,"Chardonnay, White Wine","Cinnamon, Citrus, Nutmeg, Nutty, Rich, Round, Stone Fruit, Toasty, Vanilla",13.7%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,2499.0
440,St. Supery Sauvignon Blanc,United States,St. Supery,"Sauvignon Blanc, White Wine",,13.5%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,3,1899.0
441,Talbott Kali Hart Chardonnay,United States,Talbott,"Chardonnay, White Wine",,14.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,8,1899.0
442,Montinore Estate Pinot Gris,United States,Montinore,"Pinot Grigio, White Wine",,13.6%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,2,1500.0
443,Brancott Sauvignon Blanc,United States,Brancott Estate,"Sauvignon Blanc, White Wine",,13%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,3,972.0
444,Skinnygirl Pinot Grigio Wine,United States,Skinnygirl,"Pinot Grigio, White Wine",,10%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,7,1073.0
445,Tiamo Organic Pinot Grigio,Italy,Tiamo,"Pinot Grigio, White Wine","Apple, Balanced, Bright, Pear",12%,"Chicken, Fish - Meaty  Oily, Fish - White, Root Vegetables, Salads  Greens, Shellfish",Standard White Glass,3,Dry Wine,Light,2.5,2,1283.0
446,Kaiken Estate Malbec,Argentina,Kaiken,"Malbec, Red Wine","Balanced, Chocolate, Dry, Tobacco",13.5%,"Beef, Cheese - Blue, Cheese - Hard Aged, Chicken, Cured Meats, Duck  Game Bird, Fish - Meaty  Oily, Fruit - Dried, Lamb, Mushrooms, Nuts, Pasta, Pork, Root Vegetables, Salads  Greens, Turkey",Standard Red Glass,6,Dry Wine,Full,5.0,2,1283.0
447,The Prisoner Thorn Merlot,United States,The Prisoner Wine Company,"Merlot, Red Wine",,15.2%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,5,3999.0
448,The Prisoner The Snitch Chardonnay,United States,The Prisoner Wine Company,"Chardonnay, White Wine",,14.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,5,3299.0
449,Klinker Brick Old Vine Zinfandel,United States,Klinker Brick,"Red Wine, Zinfandel","Balanced, Cherry, Dried Fruit, Red Fruit, Round, Smooth, Spicy, Toasty",15.4%,"Beef, Cheese - Hard Aged, Cured Meats, Lamb, Pasta",Standard Red Glass,6,Dry Wine,Medium,5.0,7,1849.0
450,St. Francis Cabernet Sauvignon,United States,St. Francis,"Cabernet Sauvignon, Red Wine",,14.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,5,2099.0
451,St. Francis Chardonnay,United States,St. Francis,"Chardonnay, White Wine",,14.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,1499.0
452,Grgich Hills Chardonnay,United States,Grgich Hills,"Chardonnay, White Wine",,14.1%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,6,3999.0
453,Grgich Hills Fume Blanc,United States,Grgich Hills,"Sauvignon Blanc, White Wine",,14.1%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,3,2999.0
454,Sebastiani Chardonnay,United States,Sebastiani,"Chardonnay, White Wine",,13.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,2,1299.0
455,CK Mondavi Cabernet Sauvignon,United States,CK Mondavi,"Cabernet Sauvignon, Red Wine","Berry, Blueberry, Bold, Cassis, Cherry, Chocolate, Cinnamon, Coffee, Currant, Dark Fruit, Fresh, Fruity, Intense, Jammy, Leather, Oak, Red Fruit, Silky, Smooth, Toasty, Vanilla, Velvety",13.6%,"Beef, Cheese - Nutty  Semi-Firm, Chicken, Duck  Game Bird, Lamb, Mushrooms, Pasta, Pork, Root Vegetables, Turkey",Bordeaux Glass,6,Dry Wine,Full,5.0,14,699.0
456,CK Mondavi Chardonnay,United States,CK Mondavi,"Chardonnay, White Wine","Apple, Apricot, Balanced, Banana, Biscuit, Bready, Butter, Citrus, Crisp, Dry, Fresh, Fruity, Green Apple, Guava, Honey, Nectarine, Nutty, Oak, Peach, Pear, Round, Smooth, Stone Fruit, Toasty, Tropical, Tropical Fruit, Vanilla",13.4%,"Cheese - Fresh  Soft, Chicken, Fish - Meaty  Oily, Fish - White, Mushrooms, Pasta, Pork, Root Vegetables, Salads  Greens, Shellfish, Turkey",Chardonnay Glass,4,Dry Wine,Full,5.0,12,699.0
457,CK Mondavi Pinot Grigio,United States,CK Mondavi,"Pinot Grigio, White Wine","Apple, Apricot, Balanced, Bright, Citrus, Crisp, Fresh, Fruity, Guava, Light, Melon, Melon - Honeydew, Nectarine, Peach, Pear, Smooth, Stone Fruit, Tropical, Tropical Fruit",12.9%,"Cheese - Fresh  Soft, Chicken, Cured Meats, Fish - White, Fruit - Citrus, Nuts, Pasta, Pork, Root Vegetables, Salads  Greens, Shellfish, Tomatoes, Turkey",Standard White Glass,3,Dry Wine,Light,5.0,9,699.0
